Tm,payroll_m,tier,repeater
CLE,217.4,second_apron,No
NYK,207.4,first_apron,No
GSW,204.7,first_apron,Yes
HOU,199.8,first_apron,No
MIN,198.5,first_apron,No
LAL,197.1,first_apron,Yes
PHI,187.8,above_cap_below_tax,No
SAC,193.3,above_cap_below_tax,No
LAC,191.9,taxpayer,Yes
TOR,191.6,above_cap_below_tax,No
DEN,191.6,above_cap_below_tax,No
NOP,190.9,above_cap_below_tax,No
PHO,190.5,above_cap_below_tax,No
OKC,190.3,above_cap_below_tax,No
BOS,203.3,first_apron,No
WAS,189.9,above_cap_below_tax,No
ORL,189.9,above_cap_below_tax,No
POR,189.2,above_cap_below_tax,No
IND,188.7,above_cap_below_tax,No
MIA,188.3,above_cap_below_tax,No
CHO,188.0,above_cap_below_tax,No
DET,188.0,above_cap_below_tax,No
SAS,187.5,above_cap_below_tax,No
DAL,187.3,above_cap_below_tax,No
ATL,187.0,above_cap_below_tax,No
MIL,184.7,above_cap_below_tax,No
CHI,184.5,above_cap_below_tax,No
UTA,175.8,above_cap_below_tax,No
MEM,161.1,above_cap_below_tax,No
BRK,152.1,below_cap,No
