Player,Tm,Age,MP,WA_z,bucket,salary_25,years_remaining,npv,tier,multiplier,npv_effective,E_market_now,current_underpay,extension_window,early_extender,young,next_pritchard_score
Neemias Queta,BOS,26,1926.0,1.6652215629797238,min,2349578.0,2,12964015.141222302,above_cap_below_tax,1.0,12964015.141222302,10393075.810011622,8043497.810011622,True,True,True,20.269614481229283
Jalen Duren,DET,22,1976.0,2.481777623686692,rookie_scale,6483144.0,1,6070199.465200631,above_cap_below_tax,1.0,6070199.465200631,14363413.894318933,7880269.894318933,True,False,True,16.54856677806976
Moussa Diabat̩,CHO,24,1899.0,1.136185241958308,min,2270735.0,2,9127476.436520703,above_cap_below_tax,1.0,9127476.436520703,7820744.093418156,5550009.093418156,True,True,True,13.986022915413754
Collin Gillespie,PHO,26,2282.0,1.2939103563000969,min,2296274.0,1,5347670.266523468,above_cap_below_tax,1.0,5347670.266523468,8587650.443706892,6291376.443706892,True,False,True,13.211890531784473
Victor Wembanyama,SAS,22,1866.0,3.426485339796363,rookie_scale,13376880.0,2,3439257.501852234,above_cap_below_tax,1.0,3439257.501852234,18956863.388235837,5579983.388235837,True,False,True,11.717965115295257
Sandro Mamukelashvili,TOR,26,1751.0,1.0721094142569565,min,2461463.0,2,7962546.275222423,above_cap_below_tax,1.0,7962546.275222423,7509188.388613357,5047725.388613357,True,False,True,10.60022331608805
Amen Thompson,HOU,23,2953.0,2.322409539403843,rookie_scale,9690600.0,2,2146160.199749308,first_apron,2.3,4936168.459423409,13588518.936214687,3897918.9362146873,True,True,True,9.82275571926101
Julian Champagnie,SAS,24,2266.0,0.9833890374397002,min,3000000.0,2,6640116.5007066345,above_cap_below_tax,1.0,6640116.5007066345,7077803.566575942,4077803.5665759416,True,False,True,8.563387489809479
Donovan Clingan,POR,21,2094.0,1.688223142154568,rookie_scale,7178400.0,3,5166081.966782488,above_cap_below_tax,1.0,5166081.966782488,10504916.319428729,3326516.319428729,False,False,True,4.989774479143094
Kel'el Ware,MIA,21,1704.0,0.9390288490310722,rookie_scale,4443360.0,3,3232752.65775237,above_cap_below_tax,1.0,3232752.65775237,6862111.155557236,2418751.1555572357,False,True,True,4.353752080003025
Cason Wallace,OKC,22,2046.0,0.7303716665164143,rookie_scale,5820240.0,2,-2351318.219137445,above_cap_below_tax,1.0,-2351318.219137445,5847557.962987762,27317.962987761945,True,True,True,0.06884126672916009
Deni Avdija,POR,25,2199.0,1.824589647262573,open_negotiation,14375000.0,3,-9585733.698824896,above_cap_below_tax,1.0,-9585733.698824896,11167970.768115867,-3207029.231884133,False,False,True,0.0
Onyeka Okongwu,ATL,25,2297.0,0.8174490733926102,open_negotiation,15000000.0,3,-29467236.32848244,above_cap_below_tax,1.0,-29467236.32848244,6270954.177209668,-8729045.822790332,False,True,True,0.0
Saddiq Bey,NOP,26,2246.0,0.6301505001117361,open_negotiation,6118644.0,2,-2709478.8797747204,above_cap_below_tax,1.0,-2709478.8797747204,5360252.886241794,-758391.1137582064,True,False,True,0.0
Miles Bridges,CHO,27,2387.0,1.032678135671509,open_negotiation,25000000.0,2,-34046322.58610934,above_cap_below_tax,1.0,-34046322.58610934,7317461.801041171,-17682538.19895883,True,True,False,0.0
Reed Sheppard,HOU,21,2147.0,1.2002610696596596,rookie_scale,10603560.0,3,-11994927.198734667,first_apron,2.3,-27588332.55708973,8132299.798222954,-2471260.2017770456,False,True,True,0.0
Brandon Miller,CHO,23,1968.0,0.6597239590508215,rookie_scale,11968800.0,2,-16465575.901664251,above_cap_below_tax,1.0,-16465575.901664251,5504047.826920932,-6464752.173079068,True,True,True,0.0
Stephon Castle,SAS,21,2038.0,0.9620304282059162,rookie_scale,9560520.0,3,-11715424.901453424,above_cap_below_tax,1.0,-11715424.901453424,6973951.664974342,-2586568.335025658,False,False,True,0.0
Ausar Thompson,DET,23,1896.0,1.1230414824298254,rookie_scale,8775000.0,2,-5678773.212384604,above_cap_below_tax,1.0,-5678773.212384604,7756835.2308940925,-1018164.7691059075,True,False,True,0.0
Keldon Johnson,SAS,26,1911.0,0.794447494217766,open_negotiation,17500000.0,2,-23304260.90818789,above_cap_below_tax,1.0,-23304260.90818789,6159113.6677925605,-11340886.33220744,True,False,True,0.0
Tre Jones,CHI,26,1752.0,0.7237997867521732,open_negotiation,8000000.0,3,-7892589.148818029,above_cap_below_tax,1.0,-7892589.148818029,5815603.531725731,-2184396.4682742693,False,False,True,0.0
Austin Reaves,LAL,27,1762.0,0.9735312177933384,open_negotiation,13937574.0,2,-15904293.516420398,first_apron,2.8,-44532021.84597711,7029871.919682896,-6907702.080317104,True,False,False,0.0
Isaiah Joe,OKC,26,1507.0,0.7796607647482233,open_negotiation,12362338.0,3,-17784179.88852242,above_cap_below_tax,1.0,-17784179.88852242,6087216.197452992,-6275121.802547008,False,True,True,0.0
Mark Williams,PHO,24,1416.0,0.778017794807163,open_negotiation,6276531.0,1,-764746.274810737,above_cap_below_tax,1.0,-764746.274810737,6079227.589637484,-197303.4103625156,True,False,True,0.0
Mitchell Robinson,NYK,27,1175.0,0.7845896745714044,open_negotiation,12954546.0,1,-7415600.006768262,second_apron,3.1,-22988360.020981614,6111182.020899516,-6843363.979100484,True,False,False,0.0
Isaiah Hartenstein,OKC,27,1137.0,0.7911615543356454,open_negotiation,28500000.0,2,-44870062.82932392,above_cap_below_tax,1.0,-44870062.82932392,6143136.452161545,-22356863.547838457,True,True,False,0.0
