Player,Tm,tier,Age,years_remaining,WA,2025-26,surplus_npv_naive,surplus_npv_effective,bucket
Jaren Jackson Jr.,2TM,above_cap_below_tax,26.0,5,0.4697583333333333,35000000.0,-195551102.41785252,-195551102.41785252,open_negotiation
Devin Booker,PHO,above_cap_below_tax,29.0,5,3.8185583333333337,53142264.0,-186659054.41130337,-186659054.41130337,max
Joel Embiid,PHI,first_apron,31.0,4,3.1700854166666663,55224526.0,-164847393.0530359,-535754027.42236674,max
Franz Wagner,ORL,above_cap_below_tax,24.0,5,1.8109895833333336,38661750.0,-149572086.97999826,-149572086.97999826,max
De'Aaron Fox,SAS,above_cap_below_tax,28.0,5,3.853620833333334,37096620.0,-142602619.80108216,-142602619.80108216,max
Evan Mobley,CLE,second_apron,24.0,5,4.199958333333333,46394100.0,-134017419.1054042,-750497546.9902635,max
Lauri Markkanen,UTA,above_cap_below_tax,28.0,4,2.4034625,46394100.0,-130514458.18316634,-130514458.18316634,max
Paul George,PHI,first_apron,35.0,3,1.56178125,51666090.0,-129078017.70561332,-419503557.5432433,max
Jaylen Brown,BOS,above_cap_below_tax,29.0,4,4.911606249999999,53142264.0,-124922832.47954312,-124922832.47954312,max
Paolo Banchero,ORL,above_cap_below_tax,23.0,6,3.023441666666667,15334769.0,-124914682.34716517,-124914682.34716517,open_negotiation
Pascal Siakam,IND,above_cap_below_tax,31.0,3,1.6033145833333335,45550512.0,-111565005.97792694,-111565005.97792694,max
Bam Adebayo,MIA,above_cap_below_tax,28.0,4,3.820208333333333,37096620.0,-106813132.03061682,-106813132.03061682,max
Giannis Antetokounmpo,MIL,above_cap_below_tax,31.0,3,4.5173854166666665,54126450.0,-99744241.81686243,-99744241.81686243,max
Darius Garland,2TM,taxpayer,26.0,3,1.0162666666666669,39446090.0,-99090203.3977745,-297270610.1933235,max
OG Anunoby,NYK,second_apron,28.0,4,3.7006666666666654,39568966.0,-88754616.95721067,-497025854.9603799,max
Zach LaVine,SAC,above_cap_below_tax,30.0,2,0.1557499999999999,47499660.0,-88145241.66439204,-88145241.66439204,max
Aaron Gordon,DEN,above_cap_below_tax,30.0,4,1.687010416666667,22841455.0,-84381337.99485776,-84381337.99485776,open_negotiation
Stephen Curry,GSW,second_apron,37.0,2,3.5456125000000003,59606817.0,-83143858.43953769,-598635780.7646713,max
Anthony Edwards,MIN,first_apron,24.0,4,5.136427083333333,45550512.0,-79828246.75348046,-259441801.94881156,max
P.J. Washington,DAL,above_cap_below_tax,27.0,5,0.1125333333333331,14152174.0,-79634854.83264828,-79634854.83264828,open_negotiation
